pid,tid,home_size,parcel_size,beds,age,pool,price,year,cbd_dist,x_coord,y_coord
1,2028,1172,6747,3,35,0,65.702,2005,17697.55,491555,1569831
3,9665,3069,9536,4,0,0,199.964,2003,21123.63,544537.8,1462453
6,3842,3866,11561,6,0,1,343.691,2001,20972.43,511038.8,1466512
8,8853,3501,11647,5,5,1,314.191,2004,20343.17,601385.8,1525732
9,4063,891,9965,2,20,1,136.108,2000,3374.19,543718.5,1537711
11,8191,1782,13916,4,24,1,217.261,2005,16971.98,491913.9,1495597
14,9810,1356,5475,3,12,0,105.556,2004,21542.71,490668.1,1586306
15,9768,1323,6027,3,10,0,93.504,2001,9249.69,504662.8,1527765
16,1411,1372,11165,3,31,0,109.087,2000,4005.48,537368.6,1543997
18,174,1701,5658,4,0,0,204.245,2004,23239.38,610573.3,1522090
21,2197,1543,4499,3,14,0,105.293,2001,12014.65,573818.3,1537035
24,9254,1279,15179,3,48,0,85.561,2001,16749.73,501294.3,1574629
26,2566,1850,10020,3,4,1,168.336,2003,18209.28,593856,1521707
28,285,1319,16026,3,40,0,77.229,2002,7166.4,557245.7,1538239
31,4837,3585,15741,5,0,1,333.139,2002,14821.24,486523.7,1525442
32,418,2835,9013,4,0,0,226.548,2004,14745.48,492619,1554755
33,3706,888,8010,3,39,0,78.877,2001,16480.8,500204.1,1572646
34,8728,1507,4261,3,0,0,156.274,2003,22591.94,608508.9,1522735
36,52,2821,10309,4,0,0,273.777,2002,20897.89,512148.7,1466373
37,9299,1490,12820,3,14,0,128.053,2004,24478.92,454619.6,1535521
38,8463,1776,26535,4,33,0,131.775,2003,13413.26,577679.8,1541170
40,9075,1685,6870,3,22,0,113.026,2001,16400.78,522186.8,1478778
42,8183,1682,8268,4,7,0,146.326,2001,17395.33,527848.4,1474436
43,9949,4729,17025,4,4,1,1006.128,2004,17138.11,496860.7,1489606
45,2182,1164,5748,3,11,1,89.694,2001,16870.85,527289.6,1476243
47,4540,1729,7155,3,8,0,129.4,2000,15887.65,505258,1574039
49,7323,2947,5047,4,6,0,213.893,2004,14509.62,580233,1516717
51,9743,1626,8843,4,32,0,105.028,2003,9343.09,516991,1506162
52,4187,1432,8257,3,28,0,114.271,2004,8462.86,513476,1548851
53,4482,2400,8790,3,0,0,197.601,2004,22569.56,461856.6,1518464
54,8897,1008,6863,3,18,0,73.309,2003,18229.72,482365.6,1559844
55,9503,2376,10492,4,14,0,232.456,2004,20842.13,599025.3,1554735
56,6877,1672,10498,3,20,0,142.107,2005,20908.47,466740.7,1539569
57,1979,1480,7094,3,11,0,127.985,2002,15995.31,505328.3,1574515
59,4677,1034,13479,2,52,0,102.73,2000,3008.07,544290.1,1528253
60,5625,1793,8623,3,7,0,141.908,2002,13557.86,490980.4,1538619
61,7395,6252,26159,4,9,1,1005.953,2001,16847.24,490369.6,1498236
63,8717,3388,11992,4,0,1,328.065,2001,18333.47,507932,1584921
64,5407,2894,5500,4,2,0,273.113,2005,21473.19,605046,1524998
65,8886,2838,6092,4,1,0,193.659,2004,17123.26,525740.1,1475641
